Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,password,course_name,SignUpDate,LastActiveDate,comment
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,K5JJO&XNpu,"20    NaN
Name: CourseName, dtype: str",2023-03-04,2024-03-01,"Corso completo e molto utile. Ben fatto e chiaro nelle spiegazioni. Mi serviva qualcosa che mi potesse ispirare per comunicare meglio e qui ho trovato molti consigli pratici che ho potuto anche provare sul campo. I docenti sono preparati e disponibili. Lo consiglio.
Corso molto completo e pratico, mi è stato molto utile.
"
S1022,Sara,Davis,student22@university.com,Male,22,Business,Gll7F4Es9y,"20    NaN
Name: CourseName, dtype: str",2023-07-06,2024-01-20,"Oui, ce cours correspond tout à fait à mes attentes .
Wow! I'm learning so much! Why don't they talk about this in undergrad?
"
S1023,Liam,Williams,student23@university.com,Female,23,CS,hYt0#N!YPn,"50    NaN
Name: CourseName, dtype: str",2023-11-24,2024-05-21,"Por ahora NO ha sido una buena decisión. La verdad es que es alguien leyendo unas diapositivas llenas de texto; además, parece que no supiera del tema porque solo lee y no hay ejemplos reales, le falta confianza al lector. Siento que desperdicié mi dinero
I had a great experience with this course. It has GREATLY advanced me on this journey of Self-Inquiry.
"
S1024,Maria,Williams,student24@university.com,Female,20,Business,Hr2k84bep%,"20    NaN
Name: CourseName, dtype: str",2023-01-09,2024-03-10,"Gostei bastante do curso, a professora tem uma excelente didática e o curso apresenta bons matérias complementares, e me ajudou bastante a dica pra conteúdo externo.
Very good course! Would recommend. Thank you
"
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,d$4TJUw0Ix,"5    NaN
Name: CourseName, dtype: str",2023-04-07,2024-06-13,"Curso muito válido para concurseiros!
Amazing, loved it. summarised perfectly and easy to understand.
"
S1026,Emma,Johnson,student26@university.com,Male,18,Business,&OjB%NHjdc,"20    NaN
Name: CourseName, dtype: str",2023-01-12,2024-01-19,"Ótimo curso, apresenta uma boa síntese da matéria. Objetivo, direto e sem enrolação. Super recomendo! :)
LOVED this course by Dara! So informative and clearly laid out for me to apply! I will definitely check out her other courses!!
"
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,AL#G@#PzLH,"35    NaN
Name: CourseName, dtype: str",2023-03-11,2024-06-01,"Sim. Ótimo professor!!!!
Era o que eu esperava, simples, objetivo e claro.
"
S1028,Liam,Davis,student28@university.com,Female,21,Engineering,MCb$AJsb4U,"35    NaN
Name: CourseName, dtype: str",2023-11-12,2024-05-07,"great learning
Nur Audiostream. Oberflächliche Allgemeinheiten. Kostenlose Podcasts bieten mehr handfeste, konkrete Informationen zum Thema.
"
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,sYagAfchjc,"5    NaN
Name: CourseName, dtype: str",2023-10-19,2024-03-09,"-
Это даже не перевод официального курса от Unty . Никакой толковой , новой информации . Взял по скидке , это максимальная цена
"
S1030,Ahmed,Brown,student30@university.com,Female,22,Business,J@yYStLHGh,"20    NaN
Name: CourseName, dtype: str",2023-01-08,2024-05-04,"I have done other courses on manifesting and this course helped me to put some pieces of the jigsaw together as sometimes it can get confusing. But this course was really good and explained things very clearly.
Great course, the only issue is that when I asked a question there have been no response. Other then that I have learnt a lot for this course ! <3
"
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,9lBzMfPGu3,"35    NaN
Name: CourseName, dtype: str",2023-07-02,2024-06-09,"PURTROPPO NELLA REGISTRAZIONE DELLA 3 PARTE NON SI ATTIVA L'AUDIO PERCHE'---????
The strategy does not work. I am quite open to the possibility that I am doing something wrong, but nobody answers me.
"
S1032,Maria,Smith,student32@university.com,Female,21,Business,6a5hwei4Z4,"20    NaN
Name: CourseName, dtype: str",2023-06-02,2024-04-30,"Dosyć ciekawy kurs dla osób szukających sposobu na zarobek w internecie. Uważam, że skupianie się na jednej platformie nie jest zbyt mądre, bo różne tego typu platformy mają różną ofertę czasami lepszą. Myślę, że temat marketingu i to jak promować jest  naprawdę pominięty, bo są różne metody, o których warto powiedzieć. Dobrze był rozwinięty temat podatków, o których ludzie powinni wiedzieć.
You have many mistakes on  this test (More than 10 wrong answers (mine were right))
"
S1033,Sara,Williams,student33@university.com,Male,19,Engineering,*LeJbQVhtB,"35    NaN
Name: CourseName, dtype: str",2023-02-02,2024-03-01,"Este curso me ha sorprendido. Excelente contenido y materia enseñada. Se aprende muchísimo.
De momento no cumple mis expectativas, además la parte correspondiente a python es una copia del curso de python elaborado por Juan Díaz de pildorasinformáticas.es
"
S1034,Emma,Davis,student34@university.com,Female,21,CS,tEwjWDY*Ce,"50    NaN
Name: CourseName, dtype: str",2023-05-23,2024-04-08,"Дякую. Курс, не поганий, але є де які моменти, типу - називати якісь робочі елементи інтерфейсу трейдінгвью ""штучками"", не дуже професійно :) Дуже поверхнево де які пункти, які треба більш заглиблено розглядати. Також, на мою думку, більшість статегій не буде працювати в кріптотрейдінгу і для себе треба шукати якісь свої стратегії або модифікації з того що розповідалось в курсі.
excellent part I learn a lot
"
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,jhj!299STR,"50    NaN
Name: CourseName, dtype: str",2023-08-17,2024-02-02,"Me ha gustado :), en cuanto vas avanzando, vas comprendiendo mejor.
si hasta ahora util
"
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,Ot6JOHD6d*,"5    NaN
Name: CourseName, dtype: str",2023-01-18,2024-06-09,"I'm starting to do Engagement Project which is quite difficult and very important for company. That's why I interested this course. So far I feel know more fundamental of engagement concept and need more information in deep to help me to use my next step in engagement.
とても分かりやすくて、短時間で基礎が学べるので良かったです！
"
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,@VF57WlQPq,"5    NaN
Name: CourseName, dtype: str",2023-08-20,2024-04-11,"Very interesting course...thanks
Great tips and ideas to organize one self and take action. Ver well explain. Waiting for the next course
"
S1038,Ali,Williams,student38@university.com,Male,18,Business,Ge2HPET43I,"20    NaN
Name: CourseName, dtype: str",2023-12-03,2024-05-31,"the Asana course is a comprehensive aid to planning and organising each day’s activities. Stewart does an excellent job in making sure we understand the basics of the course.
it is not even close to what is told on the header ""reliable programming""
and topics covered very basic
"
S1039,John,Johnson,student39@university.com,Female,23,Mathematics,vIJD3n8vE0,"5    NaN
Name: CourseName, dtype: str",2023-03-28,2024-03-24,"Extremely helpful concepts, knowledge and exercises. The only negative that I found was that the sound quality is poor in parts, and I sometimes struggled to understand the words.
Iniciar es la parte fundamental para especializarse después y con lo que veo en este curso da las bases para generar ese interés. Agradezco a personas como el instructor de este curso que enfocan su objetivo a iniciar, explicar y brindar la seguridad de continuar estudiando.
"
S1040,John,Johnson,student40@university.com,Male,24,Business,l6%dXRjlpm,"20    NaN
Name: CourseName, dtype: str",2023-12-04,2024-02-05,"This... is very basic advice, things one could think on his own. Maybe it would help people without any time or without any motivation to think for himself
I first discovered Nelson Lopez through his YouTube channel, Chess Vibes. Immediately I recognized that he's a brilliant chess player and teacher. He produces high quality content. This course is absolutely worth the money! Nelson is a National Chess Master with over 30 years experience. The way he presents in the videos makes it very easy to follow along and to visualize everything he's talking about. The lessons are well-structured, organized, concise, and very informative. I highly recommend this course and his YouTube videos to chess players of all ages and skill levels.
"
S1041,Omar,Smith,student41@university.com,Male,23,CS,h092QDsifO,"50    NaN
Name: CourseName, dtype: str",2023-05-05,2024-05-25,"This is an excellent course for Introverts, very detailed and taught very well. Learned so much and gain a lot of knowledge on the aspects of starting a business.
,
"
S1042,Sara,Davis,student42@university.com,Male,20,CS,B2lzGdzIYJ,"50    NaN
Name: CourseName, dtype: str",2023-02-21,2024-05-19,"Der Kurs vermittelt einen guten Überblick zum Thema. Die Inhalte sind kompakt und verständlich dargestellt. Schade nur, dass man diese nicht als Muster, bzw. Checklisten anbietet. Auch ein Muster eines Businessplans wäre hilfreich und würde den Kurs abrunden.
Perfeito..recomendo
"
S1043,Liam,Williams,student43@university.com,Male,18,Engineering,JVj!TeZF@2,"35    NaN
Name: CourseName, dtype: str",2023-10-20,2024-01-18,"Hi, it is difficult to understand the pronunciation.
説明が丁寧なので想像するのが苦手な僕でもわかりやすいです。
第１チャクラで止まってて先に進めてないですが、動画を見ながら自分のペースで何度も繰り返せるので助かります。
"
S1044,Maria,Smith,student44@university.com,Male,22,Business,B@4#2s@BS0,"20    NaN
Name: CourseName, dtype: str",2023-10-07,2024-03-02,"excellent course,...
Effettivamente mi hai dato degli spunti che mi serviranno nei momenti di maggiore preoccupazione, sento che potrò affrotare meglio questi momenti. Grazie!
"
S1045,Maria,Brown,student45@university.com,Male,21,CS,v9LMpOMERU,"50    NaN
Name: CourseName, dtype: str",2023-10-06,2024-01-02,"Muito obrigada por este curso bem feito sobre a História Militar Assíria! EXCELENTE! :-D
Great to see and implement , will see results and revert back again , thanks a lot for helping out.
"
S1046,Liam,Smith,student46@university.com,Male,24,CS,!ZnUD$b%*@,"50    NaN
Name: CourseName, dtype: str",2023-05-31,2024-02-29,"音が悪く、小さくて聞き取りづらいので、内容が入ってこない。
A great refresher course.
"
S1047,Omar,Jones,student47@university.com,Female,23,Business,W8AJKm9l4F,"20    NaN
Name: CourseName, dtype: str",2023-02-06,2024-04-21,"Wonderfull. Now I can able to do my digital painting.
This was perfect for me.
"
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,!v#cfN6VtG,"35    NaN
Name: CourseName, dtype: str",2023-02-19,2024-01-08,"Great understanding of self care x
Si fue bueno, da un panorama general de los conceptos para un líder de desarrollo de software.
"
S1049,Emma,Jones,student49@university.com,Male,24,Engineering,DILTRMLK69,"35    NaN
Name: CourseName, dtype: str",2023-11-19,2024-06-13,"actually she is not explaining the material which is used properly
like which spray she used to spray on the paper 
what was liquid platinum used 
not very clear
Thank you! Very good info and basic techniques for beginners.
"
S1050,Omar,Jones,student50@university.com,Female,19,Engineering,ejGv0hbFMC,"35    NaN
Name: CourseName, dtype: str",2023-10-02,2024-01-08,"This lecture was really interesting and helpful. 
Thanks to this lecture, I could get a chance to understand MapKit, CoreLocation and Realm. Thank you!
I was expecting more concrete tutorials, perhaps roleplays.
"
S1051,Emma,Jones,student51@university.com,Female,20,Engineering,&ZC@DWtXE1,"35    NaN
Name: CourseName, dtype: str",2023-05-04,2024-04-17,"Maravilhoso!
Curso de utilidade pública. Muito bom!
"
S1052,John,Brown,student52@university.com,Female,19,CS,d*$FQbAeRe,"50    NaN
Name: CourseName, dtype: str",2023-12-10,2024-02-18,"good
excellent diploma course on economics
"
S1053,Maria,Smith,student53@university.com,Female,23,Business,DTVgMGKeii,"20    NaN
Name: CourseName, dtype: str",2023-12-23,2024-05-23,"Great learning experience.
Really helpful and easy-to-understand course. Thank you!!
"
S1054,Omar,Smith,student54@university.com,Male,19,Business,$pBZ0wOBQR,"20    NaN
Name: CourseName, dtype: str",2023-12-04,2024-03-08,"O instrutor tem boa vontade e conhecimento do tema, mas infelizmente o curso parece mais uma palestra com vários conceitos apresentados, do que um curso para aprendizado.
Abaixo aponto algumas observações importantes para que o curso possa vir com uma roupagem diferente futuramente é assim, atingir o seu objetivo:

1. No descritivo diz sobre prática, mas não há nenhuma. É apresentado uma tabela com dados de área, população e densidade demográfica, mas não vai além disso. Nenhum dos conceitos possui uma atividade a ser desenvolvida junto com o instrutor, algo um pouco incomum dos cursos em linha geral aqui na Udemy;

2. O som/áudio  tem uma qualidade mediana e da 3ª aula em diante ele fica mais abafado ainda e vai assim até o fim;

3. Durante todas os vídeos há um barulho de raspagem (não sei se é de algum objetivo na mesa ou no computador) que ocorre constantemente, o que atrapalha demais a atenção já que a qualidade do áudio é mediana como dito anteriormente;

4. Não vi o material apresentado anexado e como há muitas informações, poderia ter disponibilizado os slides;

5. Embora ele tenha falado sobre o levantamento de informações no Google, não disse e nem apresentou os resultados finais do estudo da lanchonete. Poderia ter apresentado exemplos de mapas, falado sobre o conceito de mapa de calor e coroplético. Para quem nunca fez um antes, provavelmente terá muitas dificuldades de tangibilizar todos os conceitos verbalizados.

6. E por último poderia ter falado de alguns softwares (Qgis) e plataformas que oferecem serviços e dados organizados e atualizados e que não são de alto custo e podem ser contratados por demandas específicas. A ideia aqui é para introduzir o tema apenas e mostrar que há muito mais que o Google Maps, por exemplo.

A ideia do conteúdo em geral é interessante e se esses ajustes forem realizados, tenho certeza de que todos (o instrutor e os alunos) ganharão muito com isso!
Good as a basic course - has a few suggestions that I didn't know about and will use. Thank you!
"
S1055,Maria,Brown,student55@university.com,Female,19,CS,15zBfeB%sW,"50    NaN
Name: CourseName, dtype: str",2023-04-04,2024-05-19,"Me encantó el taller! Para empezar, es súper personalizado, las chicas están re presentes en el proceso, te brindan un lugar de escucha para compartir tus reflexiones, dudas, resultados, experiencias. Es un espacio que ayuda un montón al desarrollo de reflexiones, abrir la mente y pensar mas allá. 
El recorrido del taller es muy ameno, los módulos son de una duración breve que te permite con sólo unos minutos al día poder realizarlo sin problemas. 
Además, las chicas no sólo se quedan con la teoría, sino que plantean ejercicios para aplicar cada herramienta, que me parece lo más importante y valioso. Todas las ejercitaciones me ayudaron mucho a poner en práctica lo visto, a pasar a la acción. Me resultaron herramientas muy concretas y útiles para ejecutar todo lo aprendido. 
Otra de las cosas que más me gustaron fueron los ejemplos que las chicas ponían a disposición en cada tema que se trataba. Me ayudó mucho con la comprensión, y con la ejecución de los ejercicios, lo sentí una guía re valiosa. Y no solo se quedan en unos pocos ejemplos, sino que profundizan en cada uno, y brindan, en cada módulo, archivos descargables con más ejemplos y demás herramientas útiles para el transcurso del taller. Y también otro aspecto súper valioso para el proceso de aprendizaje fue la relación de todos los conceptos. Durante el taller, las chicas enfatizaban mucho en la relación que se podía trazar entre todos los temas, retomaban y repasaban muchos conceptos, lo que me ayudó mucho a poder fijarlos. Para el recorrido del taller, me pareció super poderoso poder encontrar y trazar relaciones entre los módulos. 
Me encantó!!! Me ayudó a de a poco empezar a conocerme más a mi misma, a poner en práctica acciones que me ayuden a mejorar, a observarme y poner énfasis en lo que puedo y necesito trabajar, a enfocarme en aspectos que para mi antes resultaban invisibles. Las felicito por el taller tan lindo que crearon!
Explained it very well
"
S1056,Liam,Williams,student56@university.com,Female,20,CS,c2D6gMEz8W,"50    NaN
Name: CourseName, dtype: str",2023-04-06,2024-04-19,"I was looking for some new ideas how to cook vegan. And I found a lot of great ideas inside this course, even for my non vegan cooking. It seems like the instructor was a lot in Asia, I can see the Asian influence in his cooking. Very nice. I already purchased another course from this instructor and I must confess, I like all of his courses. This course is very easy to follow, full of joy and fun and the instructor knows how to motivate me to keep on watching without getting bored. Thanks for that, this is what I miss a lot in other video courses, some times. I was laughing a lot about the behind the scenes video, thanks so much for making it part if that video course. That was super funny. I will definitely cook all the recipes, very inspiring. I can recommend this course for everyone who wants to see how easy you can make a great dish lay with just a few fresh ingredients. Very nice!
Nein, keine Prüfungsfragen
"
S1057,Ali,Johnson,student57@university.com,Male,20,CS,tlUMDUs$!Y,"50    NaN
Name: CourseName, dtype: str",2023-01-12,2024-01-22,"So many English grammar errors and typo. Long winding sentences. Combined they make the questions incomprehensible. Consequently you understand them incorrectly and get the answers wrong. Questions are pretty good though.  I hope the instructor corrects them and republishes.
Bilgiler kendini çok tekrar ediyor aynı şeyleri her videoda duydum benim gibi not alarak öğrenen insanlar için epey sıkıcı geçer benim öyle oldu.
"
S1058,John,Smith,student58@university.com,Male,20,Mathematics,nls96wI!W9,"5    NaN
Name: CourseName, dtype: str",2023-05-19,2024-05-11,"O Messias manja muito de baixo e domina todos os estilos.To viciado nas aulas e em tocar rsrsrs...
 obrigado professor
perguntas totalmente sem nexo como a questão 29
"
S1059,Ahmed,Johnson,student59@university.com,Male,24,Business,n%d%ji5f*R,"20    NaN
Name: CourseName, dtype: str",2023-06-30,2024-02-01,"no resources
I am just learning to make videos. I found this course very interesting with lots of practical examples. I've learnt a great deal and now need to go out there and practise. I really enjoyed the course and I'll need to go back over it again as it covers a lot of material. A couple of sound glitches but nothing to moan about the content is very good.
"
S1060,John,Davis,student60@university.com,Female,20,Business,94Xk&BDRbf,"20    NaN
Name: CourseName, dtype: str",2023-05-13,2024-01-28,"O instrutor propõe uma avaliação, mas não encontrei um link para o formulário, ele simplesmente não deixou nenhum material complementar para o formulário, embora  ele faça parecer que esta avaliação seja muito importante para a continuação do curso. Ainda tentei o Google Worksheet, como aparece no vídeo, no entanto, não funcionou; perdoe-me se eu estiver errado. não vou continuar o curso pois tenho outros cursos, aqui na domestika, para realizar e não  posso perder tempo. Obrigado.
Yes, it is what I need, and even more! The instructor is excellent.
"
S1061,Omar,Davis,student61@university.com,Male,19,Business,EFVKR7BC@!,"20    NaN
Name: CourseName, dtype: str",2023-12-17,2024-02-13,"This course is very useful for present scenario of Business and work place environments. Teaching skill of Shri Srivastva Sir  is excellent .
great course,  but short. Not in depth  but would give you an overview idea
"
S1062,Ahmed,Brown,student62@university.com,Female,22,Engineering,*2pwnMSUX#,"35    NaN
Name: CourseName, dtype: str",2023-08-30,2024-03-08,"For now it seems like a very high quality course. I believe that I will say that at the end fo the course also
Sangat membantu pekerjaan baru saya
"
S1063,Ali,Davis,student63@university.com,Male,22,CS,fQxKxV6Ov3,"50    NaN
Name: CourseName, dtype: str",2023-10-13,2024-03-26,"Really enlightening course. Really enjoyable.
Muito produtivo o curso, fiquei com mais conhecimento.
"
S1064,Omar,Davis,student64@university.com,Male,20,CS,yj$#8w@8&H,"50    NaN
Name: CourseName, dtype: str",2023-02-17,2024-02-13,"As perguntas são até atuais, porem parecem que  foram traduzidas, não tem concordância, tem uma que pergunta sobre os manuais do linux que ela chama de ""homem"" em vez de ""man"", entre outras perguntas. Tem outra que pergunta qual comando usando para montar partições, na resposta está ""montar"" em vez de ""mount""
Great easy to share knowledge Thanks 
way of speaking is superb
"
S1065,Sara,Williams,student65@university.com,Female,24,CS,T&7BzlCdlQ,"50    NaN
Name: CourseName, dtype: str",2023-05-02,2024-01-06,"Me ha encantado! He aprendido un montón de técnicas para servicios que nos encontramos habitualmente en el cuerpo de bomberos de la Generalitat de Catalunya i que me permitirán trabajar con mucha más seguridad de lo que hacíamos hasta ahora.. Espero empezar a utilizarlas pronto.
Muchas gracias.
I passes  exam with 90% thanks you
"
S1066,Maria,Williams,student66@university.com,Male,21,Mathematics,7t!IXgW1gK,"5    NaN
Name: CourseName, dtype: str",2023-06-15,2024-02-02,"The presenter is direct and to the point with instructive advice and examples.
Si
"
S1067,Ali,Williams,student67@university.com,Male,18,Business,jKehNnOl&1,"20    NaN
Name: CourseName, dtype: str",2023-03-18,2024-04-17,"Muito bom usar curso, gostei da facilidade de aprender e bem didático!
Succinct with nice animations, it might be nice to have more examples.
"
S1068,Maria,Davis,student68@university.com,Male,23,CS,T8Vh*hk38G,"50    NaN
Name: CourseName, dtype: str",2023-08-02,2024-05-21,"Gone through 25 questions so far.  Bad spelling, wording and phrasing in places.

Ended test early to get a sense of detailed answers as to why a question is correct or incorrect and there is nothing.  Do not purchase this course if you are looking for a study aid that explains the answers.
todo ok
"
S1069,Emma,Brown,student69@university.com,Male,24,Mathematics,niOlK&ajcD,"5    NaN
Name: CourseName, dtype: str",2023-05-02,2024-01-06,"Good information offered, but some of the videos have a distracting soundtrack laid over them. The teacher’s voice is a bit hard to listen to as well, probably a personal preference.
N'importe quoi !
Pas digne de Udemy
Ce n'est pas une formation, mais une démo qui en date du 25/07/22 n'est même pas finie !!!
Je ne doute pas de la qualité de développeur du monsieur, mais c'est impossible à suivre par moment j'ai abandonné et la dernière vidéo se termine en cours de phrase... MDR
"
S1070,Sara,Jones,student70@university.com,Male,21,CS,myvmu0HcbG,"50    NaN
Name: CourseName, dtype: str",2023-04-08,2024-04-11,"I was expecting more questions
It was very basic, it only gives you 1 tool of analytics and actually 1 tool in total in the hole course. You would expect it to be less easy, I think it's pretty basic.
"
S1071,Sara,Jones,student71@university.com,Female,23,Engineering,RWEfrvIJP6,"35    NaN
Name: CourseName, dtype: str",2023-05-03,2024-03-16,"Fue una excelente elección, reforzó conocimientos anteriores y me mostró nuevos.
A very good collection
"
S1072,Ali,Johnson,student72@university.com,Female,21,Business,&##4Jub#f@,"20    NaN
Name: CourseName, dtype: str",2023-06-04,2024-02-21,"Bardzo interesujący kurs. Ciekawa tematyka. Mam nadzieję, że będę miała równie dobre efekty
Best test for beginners who are planning their scrum certification
"
S1073,Sara,Jones,student73@university.com,Male,21,Mathematics,%mZhG!COhd,"5    NaN
Name: CourseName, dtype: str",2023-06-11,2024-02-04,"I love it.
very good
"
